Class	Architecture	Topology
:Alpha_Beta	:2-Layer_Sandwich	:Ribosomal_Protein_S8;_Chain:_A,_domain_1
:Mainly_Alpha	:Up-down_Bundle	:Growth_Hormone;_Chain:_A;
:Alpha_Beta	:Roll	:Nuclear_Transport_Factor_2;_Chain:_A,
:Alpha_Beta	:Alpha-Beta_Complex	:DNA_primase,_PRIM_domain
:Mainly_Alpha	:Up-down_Bundle	:Single_alpha-helices_involved_in_coiled-coils_or_other_helix-helix_interfaces
:Mainly_Alpha	:Up-down_Bundle	:Monooxygenase
:Mainly_Beta	:Roll	:SH3_type_barrels.
:Alpha_Beta	:Roll	:Thiol_Ester_Dehydrase;_Chain_A
:Mainly_Alpha	:Alpha_Horseshoe	:Serine_Threonine_Protein_Phosphatase_5,_Tetratricopeptide_repeat
:Mainly_Alpha	:Orthogonal_Bundle	:Arc_Repressor_Mutant,_subunit_A
:Alpha_Beta	:Roll	:Diaminopimelate_Epimerase;_Chain_A,_domain_1
:Mainly_Alpha	:Orthogonal_Bundle	:Cytochrome_p450
:Mainly_Alpha	:Orthogonal_Bundle	:DNA_polymerase;_domain_1
:Mainly_Beta	:Sandwich	:Immunoglobulin-like
:Mainly_Beta	:Beta_Barrel	:OB_fold_(Dihydrolipoamide_Acetyltransferase,_E2P)
:Mainly_Alpha	:Alpha_Horseshoe	:Serine_Threonine_Protein_Phosphatase_5,_Tetratricopeptide_repeat
:Alpha_Beta	:2-Layer_Sandwich	:Glycoprotein,_Type_4_Pilin
:Mainly_Alpha	:Orthogonal_Bundle	:Aldehyde_Ferredoxin_Oxidoreductase_Protein,_subunit_A;_domain_2
:Mainly_Beta	:Roll	:PH-domain_like
:Mainly_Beta	:Sandwich	:Jelly_Rolls
:Mainly_Beta	:7_Propeller	:Methylamine_Dehydrogenase;_Chain_H
:Alpha_Beta	:2-Layer_Sandwich	:Alpha-Beta_Plaits
:Alpha_Beta	:Roll	:Nuclear_Transport_Factor_2;_Chain:_A,
:Mainly_Beta	:Sandwich	:Jelly_Rolls
:Alpha_Beta	:Roll	:2,3-Dihydroxybiphenyl_1,2-Dioxygenase;_domain_1
:Alpha_Beta	:2-Layer_Sandwich	:Chloramphenicol_Acetyltransferase
:Alpha_Beta	:3-Layer(aba)_Sandwich	:D-Maltodextrin-Binding_Protein;_domain_2
:Alpha_Beta	:Alpha-Beta_Barrel	:TIM_Barrel
:Alpha_Beta	:3-Layer(aba)_Sandwich	:Aminopeptidase
:Alpha_Beta	:Roll	:DNA_Polymerase_III;_Chain_A,_domain_2
:Alpha_Beta	:2-Layer_Sandwich	:PmbA/TldD_fold
:Mainly_Beta	:Beta_Barrel	:Barwin-like_endoglucanases
:Alpha_Beta	:3-Layer(aba)_Sandwich	:Trna_Endonuclease;_Chain:_A,_domain_1
:Mainly_Beta	:Sandwich	:Jelly_Rolls
:Mainly_Alpha	:Orthogonal_Bundle	:Arc_Repressor_Mutant,_subunit_A
:Alpha_Beta	:Alpha-Beta_Barrel	:TIM_Barrel
:Alpha_Beta	:2-Layer_Sandwich	:Alpha-Beta_Plaits
:Mainly_Alpha	:Orthogonal_Bundle	:Lyase_2-enoyl-coa_Hydratase;_Chain_A,_domain_2
:Alpha_Beta	:2-Layer_Sandwich	:Protein_Binding,_DinI_Protein;_Chain_A
:Alpha_Beta	:2-Layer_Sandwich	:Ribosomal_Protein_S5;_domain_2
:Alpha_Beta	:3-Layer(aba)_Sandwich	:Kinesin
:Alpha_Beta	:3-Layer(aba)_Sandwich	:Rossmann_fold
:Alpha_Beta	:3-Layer(aba)_Sandwich	:Glutaredoxin
:Mainly_Alpha	:Orthogonal_Bundle	:Cytochrome_Bc1_Complex;_Chain_D,_domain_2
:Alpha_Beta	:2-Layer_Sandwich	:Beta-Lactamase
:Alpha_Beta	:2-Layer_Sandwich	:Alpha-Beta_Plaits
:Mainly_Alpha	:Alpha_Horseshoe	:Serine_Threonine_Protein_Phosphatase_5,_Tetratricopeptide_repeat
:Alpha_Beta	:2-Layer_Sandwich	:Ribosomal_Protein_S8;_Chain:_A,_domain_1
:Alpha_Beta	:2-Layer_Sandwich	:Beta-Lactamase
:Alpha_Beta	:3-Layer(aba)_Sandwich	:Rossmann_fold
:Alpha_Beta	:3-Layer(aba)_Sandwich	:Rossmann_fold
:Mainly_Alpha	:Orthogonal_Bundle	:Lysozyme
:Alpha_Beta	:Alpha-Beta_Complex	:Protein-Tyrosine_Phosphatase;_Chain_A
:Mainly_Alpha	:Up-down_Bundle	:Substrate_Binding_Domain_Of_Dnak;_Chain:A;_Domain_2
:Alpha_Beta	:3-Layer(aba)_Sandwich	:Rossmann_fold
:Mainly_Alpha	:Up-down_Bundle	:Methane_Monooxygenase_Hydroxylase;_Chain_G,_domain_1
:Alpha_Beta	:3-Layer(aba)_Sandwich	:Creatine_Amidinohydrolase;_Chain_A,_domain_1
:Alpha_Beta	:Alpha-Beta_Complex	:Ribosomal_Protein_L22;_Chain_A
:Mainly_Alpha	:Up-down_Bundle	:Single_alpha-helices_involved_in_coiled-coils_or_other_helix-helix_interfaces
:Mainly_Alpha	:Orthogonal_Bundle	:GI_Alpha_1,_domain_2-like
:Mainly_Beta	:Sandwich	:Tumour_Suppressor_Smad4
:Alpha_Beta	:2-Layer_Sandwich	:Enolase-like;_domain_1
:Mainly_Beta	:Roll	:SH3_type_barrels.
:Alpha_Beta	:3-Layer(aba)_Sandwich	:Rossmann_fold
:Mainly_Alpha	:Orthogonal_Bundle	:Tetracycline_Repressor;_domain_2
:Mainly_Alpha	:Orthogonal_Bundle	:DNA_Binding_(I),_subunit_A
:Mainly_Alpha	:Orthogonal_Bundle	:Transferase(Phosphotransferase);_domain_1
:Alpha_Beta	:3-Layer(aba)_Sandwich	:D-Maltodextrin-Binding_Protein;_domain_2
:Alpha_Beta	:3-Layer(aba)_Sandwich	:Rossmann_fold
:Alpha_Beta	:3-Layer(aba)_Sandwich	:Rossmann_fold
:Alpha_Beta	:3-Layer(aba)_Sandwich	:UDP-N-acetylmuramoyl-L-alanine:D-glutamate_ligase
:Mainly_Alpha	:Up-down_Bundle	:Four_Helix_Bundle_(Hemerythrin_(Met),_subunit_A)
:Mainly_Alpha	:Orthogonal_Bundle	:Tetracycline_Repressor;_domain_2
:Alpha_Beta	:3-Layer(aba)_Sandwich	:Rossmann_fold
:Alpha_Beta	:3-Layer(aba)_Sandwich	:Rossmann_fold
:Mainly_Beta	:Beta_Barrel	:OB_fold_(Dihydrolipoamide_Acetyltransferase,_E2P)
:Mainly_Beta	:Roll	:BH3618-like
:Mainly_Alpha	:Up-down_Bundle	:Four_Helix_Bundle_(Hemerythrin_(Met),_subunit_A)
:Mainly_Beta	:Beta_Barrel	:Cathepsin_D,_subunit_A;_domain_1
:Alpha_Beta	:2-Layer_Sandwich	:Gyrase_A;_domain_2
:Mainly_Beta	:Beta_Barrel	:OB_fold_(Dihydrolipoamide_Acetyltransferase,_E2P)
:Alpha_Beta	:3-Layer(aba)_Sandwich	:Peroxisomal_Thiolase;_Chain_A,_domain_1
:Alpha_Beta	:3-Layer(aba)_Sandwich	:Rossmann_fold
:Alpha_Beta	:Alpha-Beta_Complex	:Cathepsin_B;_Chain_A
:Mainly_Alpha	:Up-down_Bundle	:Methane_Monooxygenase_Hydroxylase;_Chain_G,_domain_1
:Mainly_Beta	:Sandwich	:Jelly_Rolls
:Few_Secondary_Structures	:Irregular	:Ricin_(A_Subunit),_domain_2
:Mainly_Alpha	:Up-down_Bundle	:Single_alpha-helices_involved_in_coiled-coils_or_other_helix-helix_interfaces
:Mainly_Beta	:Roll	:SH3_type_barrels.
:Mainly_Beta	:Sandwich	:Immunoglobulin-like
:Mainly_Beta	:Roll	:PH-domain_like
:Mainly_Beta	:Roll	:Pnp_Oxidase;_Chain_A
:Alpha_Beta	:2-Layer_Sandwich	:Alpha-Beta_Plaits
:Mainly_Beta	:Sandwich	:Jelly_Rolls
:Mainly_Beta	:Roll	:SH3_type_barrels.
:Alpha_Beta	:3-Layer(aba)_Sandwich	:Rossmann_fold
:Mainly_Alpha	:Up-down_Bundle	:Growth_Hormone;_Chain:_A;
:Mainly_Beta	:Sandwich	:Jelly_Rolls
:Mainly_Alpha	:Orthogonal_Bundle	:N-(1-d-carboxylethyl)-l-norvaline_Dehydrogenase;_domain_2
:Mainly_Alpha	:Orthogonal_Bundle	:Recoverin;_domain_1
:Alpha_Beta	:2-Layer_Sandwich	:Chloramphenicol_Acetyltransferase
:Alpha_Beta	:3-Layer(aba)_Sandwich	:Rossmann_fold
:Alpha_Beta	:2-Layer_Sandwich	:Double_Stranded_RNA_Binding_Domain
:Alpha_Beta	:3-Layer(aba)_Sandwich	:Rossmann_fold
:Mainly_Alpha	:Up-down_Bundle	:Single_alpha-helices_involved_in_coiled-coils_or_other_helix-helix_interfaces
:Alpha_Beta	:2-Layer_Sandwich	:Double_Stranded_RNA_Binding_Domain
:Mainly_Alpha	:Orthogonal_Bundle	:Death_Domain,_Fas
:Mainly_Beta	:Roll	:PH-domain_like
:Mainly_Alpha	:Orthogonal_Bundle	:Rna_Polymerase_Sigma_Factor;_Chain:_A
:Mainly_Alpha	:Orthogonal_Bundle	:Helicase,_Ruva_Protein;_domain_3
:Mainly_Beta	:Sandwich	:Jelly_Rolls
:Mainly_Beta	:Beta_Barrel	:Lipocalin
:Alpha_Beta	:2-Layer_Sandwich	:Nucleotidyltransferase;_domain_5
:Alpha_Beta	:3-Layer(aba)_Sandwich	:Rossmann_fold
:Mainly_Alpha	:Up-down_Bundle	:Methane_Monooxygenase_Hydroxylase;_Chain_G,_domain_1
:Alpha_Beta	:3-Layer(aba)_Sandwich	:ECO_RV_Endonuclease;_Chain_A
:Mainly_Alpha	:Orthogonal_Bundle	:DNA_polymerase;_domain_1
:Mainly_Alpha	:Up-down_Bundle	:Four_Helix_Bundle_(Hemerythrin_(Met),_subunit_A)
:Alpha_Beta	:2-Layer_Sandwich	:Gyrase_A;_domain_2
:Mainly_Alpha	:Orthogonal_Bundle	:Arc_Repressor_Mutant,_subunit_A
:Mainly_Beta	:Roll	:Pdz3_Domain
:Mainly_Beta	:Roll	:Pdz3_Domain
:Alpha_Beta	:3-Layer(aba)_Sandwich	:Rossmann_fold
:Alpha_Beta	:2-Layer_Sandwich	:GMP_Synthetase;_Chain_A,_domain_3
:Mainly_Alpha	:Up-down_Bundle	:Single_alpha-helices_involved_in_coiled-coils_or_other_helix-helix_interfaces
:Mainly_Beta	:Sandwich	:Immunoglobulin-like
:Mainly_Beta	:Beta_Complex	:Endonuclease_-_Pi-scei;_Chain_A,_domain_1
:Mainly_Beta	:Roll	:HIV-inactivating_Protein,_Cyanovirin-n
:Mainly_Alpha	:Up-down_Bundle	:Four_Helix_Bundle_(Hemerythrin_(Met),_subunit_A)
:Alpha_Beta	:3-Layer(aba)_Sandwich	:Rossmann_fold
:Mainly_Alpha	:Up-down_Bundle	:Single_alpha-helices_involved_in_coiled-coils_or_other_helix-helix_interfaces
:Alpha_Beta	:2-Layer_Sandwich	:Alpha-Beta_Plaits
:Mainly_Beta	:Sandwich	:Immunoglobulin-like
:Alpha_Beta	:3-Layer(aba)_Sandwich	:D-Maltodextrin-Binding_Protein;_domain_2
:Alpha_Beta	:3-Layer(aba)_Sandwich	:Pyruvate_Kinase;_Chain:_A,_domain_1
:Mainly_Alpha	:Orthogonal_Bundle	:Arc_Repressor_Mutant,_subunit_A
:Few_Secondary_Structures	:Irregular	:Low-density_Lipoprotein_Receptor
:Mainly_Alpha	:Alpha_Horseshoe	:Serine_Threonine_Protein_Phosphatase_5,_Tetratricopeptide_repeat
:Alpha_Beta	:2-Layer_Sandwich	:Replication_Terminator_Protein;_Chain_A,_domain_2
:Mainly_Alpha	:Up-down_Bundle	:Mitochondrial_Import_Receptor_Subunit_Tom20;_Chain_A
:Mainly_Beta	:Sandwich	:Immunoglobulin-like
:Mainly_Alpha	:Alpha_Horseshoe	:Leucine-rich_Repeat_Variant
:Alpha_Beta	:3-Layer(aba)_Sandwich	:Aspartate_Aminotransferase;_domain_2
:Alpha_Beta	:Alpha-Beta_Barrel	:TIM_Barrel
:Alpha_Beta	:Alpha-Beta_Complex	:DNA_primase_DNAg_catalytic_core,_N-terminal_domain
:Alpha_Beta	:Alpha-Beta_Complex	:Aspartate_Aminotransferase,_domain_1
:Alpha_Beta	:2-Layer_Sandwich	:Hypothetical_Protein_Tm841;_Chain:_A;domain_3
:Alpha_Beta	:2-Layer_Sandwich	:Transcription_Regulator_spoIIAA
:Alpha_Beta	:2-Layer_Sandwich	:Thymidylate_Synthase;_Chain_A
:Alpha_Beta	:Alpha-Beta_Complex	:Aspartate_Aminotransferase,_domain_1
:Mainly_Beta	:6_Propeller	:Neuraminidase
:Alpha_Beta	:2-Layer_Sandwich	:BirA_Bifunctional_Protein;_domain_2
:Mainly_Alpha	:Orthogonal_Bundle	:Phosphatidylinositol_3-kinase;_Chain_A
:Mainly_Alpha	:Orthogonal_Bundle	:Recoverin;_domain_1
:Alpha_Beta	:Alpha-Beta_Complex	:Amidase_signature_(AS)_enzymes
:Alpha_Beta	:3-Layer(aba)_Sandwich	:Rossmann_fold
:Alpha_Beta	:3-Layer(aba)_Sandwich	:Rossmann_fold
:Alpha_Beta	:3-Layer(aba)_Sandwich	:Rossmann_fold
:Few_Secondary_Structures	:Irregular	:Ribosomal_protein_L3;_domain_3
:Alpha_Beta	:3-Layer(bba)_Sandwich	:FAD/NAD(P)-binding_domain
:Alpha_Beta	:2-Layer_Sandwich	:Nucleotidyltransferase;_domain_5
:Alpha_Beta	:2-Layer_Sandwich	:Mago_nashi_protein
:Alpha_Beta	:3-Layer(aba)_Sandwich	:Aldehyde_Dehydrogenase;_Chain_A,_domain_2
:Alpha_Beta	:Alpha-Beta_Complex	:Cathepsin_B;_Chain_A
:Alpha_Beta	:3-Layer(aba)_Sandwich	:D-Maltodextrin-Binding_Protein;_domain_2
:Alpha_Beta	:2-Layer_Sandwich	:Beta_Polymerase;_domain_2
:Alpha_Beta	:3-Layer(aba)_Sandwich	:Aspartate_Aminotransferase;_domain_2
:Mainly_Alpha	:Up-down_Bundle	:Single_alpha-helices_involved_in_coiled-coils_or_other_helix-helix_interfaces
:Mainly_Alpha	:Up-down_Bundle	:YP_001051499.1_fold_like
:Mainly_Alpha	:Alpha_Horseshoe	:Serine_Threonine_Protein_Phosphatase_5,_Tetratricopeptide_repeat
:Mainly_Beta	:Roll	:SH3_type_barrels.
:Mainly_Alpha	:Orthogonal_Bundle	:Arc_Repressor_Mutant,_subunit_A
:Mainly_Beta	:Beta_Barrel	:OB_fold_(Dihydrolipoamide_Acetyltransferase,_E2P)
:Alpha_Beta	:3-Layer(aba)_Sandwich	:UbiD_C-terminal_domain-like
:Alpha_Beta	:Alpha-Beta_Complex	:Conserved_hypothetical_protein_from_pyrococcus_furiosus_pfu-_392566-001,_ParB_domain
:Alpha_Beta	:Alpha-Beta_Complex	:Nucleoside_Triphosphate_Pyrophosphohydrolase
:Mainly_Beta	:Sandwich	:Immunoglobulin-like
:Mainly_Beta	:Roll	:Pnp_Oxidase;_Chain_A
:Alpha_Beta	:2-Layer_Sandwich	:Chitobiase;_domain_2
:Mainly_Alpha	:Up-down_Bundle	:Single_alpha-helices_involved_in_coiled-coils_or_other_helix-helix_interfaces
:Alpha_Beta	:Alpha-Beta_Barrel	:TIM_Barrel
:Mainly_Beta	:Sandwich	:Chondroitinase_Ac;_Chain_A,_domain_3
:Mainly_Alpha	:Orthogonal_Bundle	:Cyclin_A;_domain_1
:Alpha_Beta	:Roll	:chromosomal_protein_mc1
:Alpha_Beta	:2-Layer_Sandwich	:Alpha-Beta_Plaits
:Alpha_Beta	:3-Layer(aba)_Sandwich	:Lysozyme-like
:Alpha_Beta	:3-Layer(aba)_Sandwich	:Rossmann_fold
:Alpha_Beta	:3-Layer(aba)_Sandwich	:Severin
:Mainly_Alpha	:Alpha_Horseshoe	:Serine_Threonine_Protein_Phosphatase_5,_Tetratricopeptide_repeat
:Mainly_Alpha	:Up-down_Bundle	:Methane_Monooxygenase_Hydroxylase;_Chain_G,_domain_1
:Alpha_Beta	:3-Layer(aba)_Sandwich	:D-Maltodextrin-Binding_Protein;_domain_2
:Mainly_Alpha	:Orthogonal_Bundle	:Helicase,_Ruva_Protein;_domain_3
:Mainly_Alpha	:Orthogonal_Bundle	:Arp2/3_complex_21_kDa_subunit_ARPC3
:Alpha_Beta	:3-Layer(aba)_Sandwich	:Rossmann_fold
:Mainly_Beta	:Roll	:Pnp_Oxidase;_Chain_A
:Alpha_Beta	:3-Layer(aba)_Sandwich	:Peroxisomal_Thiolase;_Chain_A,_domain_1
:Alpha_Beta	:2-Layer_Sandwich	:Nucleotidyltransferase;_domain_5
:Alpha_Beta	:3-Layer(aba)_Sandwich	:Rossmann_fold
:Alpha_Beta	:2-Layer_Sandwich	:BirA_Bifunctional_Protein;_domain_2
:Alpha_Beta	:2-Layer_Sandwich	:Alpha-Beta_Plaits
:Mainly_Alpha	:Orthogonal_Bundle	:Tetracycline_Repressor;_domain_2
:Mainly_Alpha	:Orthogonal_Bundle	:Arc_Repressor_Mutant,_subunit_A
:Alpha_Beta	:3-Layer(aba)_Sandwich	:Aminopeptidase
:Alpha_Beta	:Alpha-Beta_Complex	:paralog_of_FGE_(formylglycine-generating_enzyme)
:Alpha_Beta	:3-Layer(aba)_Sandwich	:D-Maltodextrin-Binding_Protein;_domain_2
:Mainly_Beta	:Sandwich	:Jelly_Rolls
:Alpha_Beta	:Alpha-Beta_Horseshoe	:Leucine-rich_repeat,_LRR_(right-handed_beta-alpha_superhelix)
:Mainly_Alpha	:Up-down_Bundle	:Single_alpha-helices_involved_in_coiled-coils_or_other_helix-helix_interfaces
:Alpha_Beta	:3-Layer(aba)_Sandwich	:Chorismate_lyase
:Mainly_Alpha	:Up-down_Bundle	:Glutathione_S-transferase_Yfyf_(Class_Pi);_Chain_A,_domain_2
:Mainly_Beta	:Sandwich	:Immunoglobulin-like
:Alpha_Beta	:Alpha-Beta_Complex	:Cathepsin_B;_Chain_A
:Mainly_Alpha	:Up-down_Bundle	:Single_alpha-helices_involved_in_coiled-coils_or_other_helix-helix_interfaces
:Mainly_Alpha	:Up-down_Bundle	:Glutathione_S-transferase_Yfyf_(Class_Pi);_Chain_A,_domain_2
:Alpha_Beta	:3-Layer(aba)_Sandwich	:Rossmann_fold
:Mainly_Beta	:Sandwich	:Jelly_Rolls
:Alpha_Beta	:Roll	:Nuclear_Transport_Factor_2;_Chain:_A,
:Mainly_Alpha	:Up-down_Bundle	:Methane_Monooxygenase_Hydroxylase;_Chain_G,_domain_1
:Alpha_Beta	:Roll	:DNA_Polymerase_III;_Chain_A,_domain_2
:Alpha_Beta	:Alpha-Beta_Complex	:Adenylylcyclase_toxin_fold
:Alpha_Beta	:4-Layer_Sandwich	:Anthranilate_synthase
:Mainly_Beta	:Roll	:SH3_type_barrels.
:Mainly_Alpha	:Up-down_Bundle	:Single_alpha-helices_involved_in_coiled-coils_or_other_helix-helix_interfaces
:Mainly_Beta	:Roll	:PH-domain_like
:Few_Secondary_Structures	:Irregular	:Hormone_receptor_fold
:Mainly_Alpha	:Alpha_Horseshoe	:Serine_Threonine_Protein_Phosphatase_5,_Tetratricopeptide_repeat
:Mainly_Beta	:Roll	:PH-domain_like
:Mainly_Alpha	:Orthogonal_Bundle	:Arc_Repressor_Mutant,_subunit_A
:Alpha_Beta	:3-Layer(aba)_Sandwich	:Rossmann_fold
:Mainly_Alpha	:Orthogonal_Bundle	:Helicase,_Ruva_Protein;_domain_3
:Mainly_Beta	:Single_Sheet	:Ubiquitin_Ligase_Nedd4;_Chain:_W;
:Alpha_Beta	:2-Layer_Sandwich	:Double_Stranded_RNA_Binding_Domain
:Alpha_Beta	:2-Layer_Sandwich	:Fructose-1,6-Bisphosphatase;_Chain_A,_domain_1
:Mainly_Alpha	:Alpha_Horseshoe	:Leucine-rich_Repeat_Variant
:Alpha_Beta	:Alpha-Beta_Complex	:2-enoyl-CoA_Hydratase;_Chain_A,_domain_1
:Mainly_Alpha	:Up-down_Bundle	:Methane_Monooxygenase_Hydroxylase;_Chain_G,_domain_1
:Mainly_Alpha	:Orthogonal_Bundle	:Tyrosyl-Transfer_RNA_Synthetase
:Mainly_Alpha	:Alpha/alpha_barrel	:Glycosyltransferase
:Alpha_Beta	:Super_Roll	:Bactericidal_permeability-increasing_protein;_domain_1
:Mainly_Alpha	:Orthogonal_Bundle	:Recoverin;_domain_1
:Alpha_Beta	:Alpha-Beta_Complex	:L-2-Hydroxyisocaproate_Dehydrogenase;_Chain_A,_domain_2
:Mainly_Alpha	:Orthogonal_Bundle	:Cytochrome_Bc1_Complex;_Chain_D,_domain_2
:Alpha_Beta	:3-Layer(aba)_Sandwich	:Rossmann_fold
:Alpha_Beta	:Roll	:Endonuclease_I-creI
:Mainly_Beta	:Sandwich	:Immunoglobulin-like
:Mainly_Alpha	:Orthogonal_Bundle	:di-copper_center_containing_domain_from_catechol_oxidase
:Mainly_Alpha	:Orthogonal_Bundle	:Helicase,_Ruva_Protein;_domain_3
:Alpha_Beta	:2-Layer_Sandwich	:Dihydrodipicolinate_Reductase;_domain_2
:Mainly_Beta	:Sandwich	:Mutm_(Fpg)_Protein;_Chain:_A,_domain_2
:Mainly_Beta	:Sandwich	:Adenovirus_Type_5_Fiber_Protein_(Receptor_Binding_Domain)
:Alpha_Beta	:3-Layer(aba)_Sandwich	:Rossmann_fold
:Alpha_Beta	:3-Layer(aba)_Sandwich	:Rossmann_fold
:Alpha_Beta	:Alpha-Beta_Complex	:Nucleoside_Triphosphate_Pyrophosphohydrolase
:Alpha_Beta	:3-Layer(aba)_Sandwich	:Rossmann_fold
:Alpha_Beta	:3-Layer(aba)_Sandwich	:Rossmann_fold
:Mainly_Alpha	:Orthogonal_Bundle	:Conserved_Hypothetical_Protein_Ylqf;_Chain:_A;_domain_2
:Alpha_Beta	:Roll	:Diaminopimelate_Epimerase;_Chain_A,_domain_1
:Alpha_Beta	:3-Layer(aba)_Sandwich	:Rossmann_fold
:Mainly_Alpha	:Orthogonal_Bundle	:Helix_Hairpins
:Alpha_Beta	:3-Layer(aba)_Sandwich	:Lysozyme-like
:Mainly_Alpha	:Alpha_Horseshoe	:Serine_Threonine_Protein_Phosphatase_5,_Tetratricopeptide_repeat
:Mainly_Alpha	:Orthogonal_Bundle	:Transcription_Termination_Factor_Rho,_Rna-binding_Domain;_Chain_A,_Domain_1
:Alpha_Beta	:Roll	:Chitinase_A;_domain_3
:Alpha_Beta	:2-Layer_Sandwich	:Pantoate--beta-alanine_Ligase;_Chain:_A,domain_2
:Mainly_Beta	:Sandwich	:Immunoglobulin-like
:Mainly_Alpha	:Orthogonal_Bundle	:Recoverin;_domain_1
:Alpha_Beta	:2-Layer_Sandwich	:Alpha-Beta_Plaits
:Alpha_Beta	:2-Layer_Sandwich	:Endonuclease;_Chain_A
:Mainly_Alpha	:Up-down_Bundle	:Rhopdopsin_7-helix_transmembrane_proteins
:Alpha_Beta	:Alpha-Beta_Barrel	:fumarase
:Alpha_Beta	:2-Layer_Sandwich	:Alpha-Beta_Plaits
:Mainly_Alpha	:Alpha/alpha_barrel	:Glycosyltransferase
:Mainly_Alpha	:Up-down_Bundle	:Photosynthetic_Reaction_Center,_subunit_M;_domain_1
:Alpha_Beta	:2-Layer_Sandwich	:Heat_Shock_Protein_90
:Alpha_Beta	:Roll	:Thiol_Ester_Dehydrase;_Chain_A
:Alpha_Beta	:2-Layer_Sandwich	:Alpha-Beta_Plaits
:Alpha_Beta	:2-Layer_Sandwich	:Nucleotidyltransferase;_domain_5
:Alpha_Beta	:Alpha-Beta_Complex	:Protein-Tyrosine_Phosphatase;_Chain_A
:Alpha_Beta	:3-Layer(aba)_Sandwich	:Rossmann_fold
